epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6442307829856873,0.0010000000474974513,0.7124483585357666,0.5695067048072815,0.7399973273277283
1,0.7307692170143127,0.0010000000474974513,0.6077673435211182,0.5695067048072815,0.7341234087944031
2,0.7437499761581421,0.0010000000474974513,0.5841253399848938,0.5695067048072815,0.7236548066139221
3,0.7754807472229004,0.0010000000474974513,0.537076473236084,0.5762332081794739,0.6855335235595703
4,0.7668269276618958,0.0010000000474974513,0.5354611277580261,0.7073991298675537,0.6624640226364136
5,0.7759615182876587,0.0010000000474974513,0.5281993746757507,0.628923773765564,0.6514971852302551
6,0.7899038195610046,0.0010000000474974513,0.5110154151916504,0.5852017998695374,0.7010002136230469
7,0.8043269515037537,0.0010000000474974513,0.4930975139141083,0.7690582871437073,0.5286977887153625
8,0.8072115182876587,0.0010000000474974513,0.4877009987831116,0.4764573872089386,1.268742561340332
9,0.8048076629638672,0.0010000000474974513,0.4747178554534912,0.804932713508606,0.4891490042209625
10,0.8230769038200378,0.0010000000474974513,0.4507239758968353,0.5437219738960266,1.3546984195709229
11,0.8230769038200378,0.0010000000474974513,0.4456488788127899,0.5067264437675476,1.5309420824050903
12,0.8293269276618958,0.0010000000474974513,0.4372085928916931,0.5156950950622559,1.8010166883468628
13,0.8336538672447205,0.0010000000474974513,0.43132877349853516,0.6008968353271484,0.9432348012924194
14,0.8254807591438293,0.0010000000474974513,0.4316885769367218,0.4573991000652313,1.7757399082183838
15,0.8442307710647583,0.00020000000949949026,0.40473806858062744,0.6121076345443726,0.853827714920044
16,0.8442307710647583,0.00020000000949949026,0.3909580409526825,0.7701793909072876,0.5845863819122314
17,0.848557710647583,0.00020000000949949026,0.39105239510536194,0.7634528875350952,0.6338239312171936
18,0.8605769276618958,0.00020000000949949026,0.3776538074016571,0.7903587222099304,0.5037802457809448
19,0.8552884459495544,0.00020000000949949026,0.3877480626106262,0.8363228440284729,0.4292024075984955
20,0.8543269038200378,0.00020000000949949026,0.37448742985725403,0.8228699564933777,0.4940776824951172
21,0.8658654093742371,0.00020000000949949026,0.362198144197464,0.818385660648346,0.4948504865169525
22,0.8552884459495544,0.00020000000949949026,0.3707035779953003,0.8262332081794739,0.5033602118492126
23,0.8509615659713745,0.00020000000949949026,0.3718072474002838,0.8497757911682129,0.4245515465736389
24,0.8692307472229004,0.00020000000949949026,0.35147836804389954,0.841928243637085,0.45329275727272034
25,0.8629807829856873,0.00020000000949949026,0.35548684000968933,0.8352017998695374,0.4144074022769928
26,0.8668269515037537,0.00020000000949949026,0.3483662009239197,0.8520179390907288,0.39161187410354614
27,0.8663461804389954,0.00020000000949949026,0.34710338711738586,0.8733183741569519,0.34849363565444946
28,0.8730769157409668,0.00020000000949949026,0.34142452478408813,0.7847533822059631,0.6059681177139282
29,0.8754807710647583,0.00020000000949949026,0.3390650153160095,0.8284753561019897,0.4386669993400574
30,0.8668269515037537,0.00020000000949949026,0.339264839887619,0.8352017998695374,0.4419384300708771
31,0.8759615421295166,0.00020000000949949026,0.3311467170715332,0.8228699564933777,0.39916184544563293
32,0.8817307949066162,0.00020000000949949026,0.3318130373954773,0.8038116693496704,0.5320223569869995
33,0.8932692408561707,4.0000002627493814e-05,0.31028637290000916,0.8778026700019836,0.32692018151283264
34,0.8826923370361328,4.0000002627493814e-05,0.3334319591522217,0.8834080696105957,0.3147413730621338
35,0.8668269515037537,4.0000002627493814e-05,0.3368273973464966,0.8878923654556274,0.2830198109149933
36,0.8802884817123413,4.0000002627493814e-05,0.3135327994823456,0.8867713212966919,0.28478002548217773
37,0.8836538195610046,4.0000002627493814e-05,0.3117204010486603,0.8856502175331116,0.28315749764442444
38,0.8725961446762085,4.0000002627493814e-05,0.32539069652557373,0.884529173374176,0.29057934880256653
39,0.875,4.0000002627493814e-05,0.3284015953540802,0.8822869658470154,0.2848471403121948
40,0.8826923370361328,4.0000002627493814e-05,0.31012508273124695,0.894618809223175,0.29015156626701355
41,0.887499988079071,4.0000002627493814e-05,0.3124401867389679,0.8878923654556274,0.2914297878742218
42,0.8908653855323792,4.0000002627493814e-05,0.30433958768844604,0.8878923654556274,0.2871949374675751
43,0.8759615421295166,4.0000002627493814e-05,0.3282843232154846,0.8834080696105957,0.28569796681404114
44,0.8846153616905212,4.0000002627493814e-05,0.3112921416759491,0.8778026700019836,0.28986990451812744
45,0.8822115659713745,4.0000002627493814e-05,0.31450217962265015,0.8822869658470154,0.2929322421550751
46,0.8855769038200378,8.000000889296643e-06,0.3011740744113922,0.894618809223175,0.2843957841396332
47,0.8865384459495544,8.000000889296643e-06,0.31430909037590027,0.8968609571456909,0.27457520365715027
48,0.8966346383094788,8.000000889296643e-06,0.2999889552593231,0.8957399129867554,0.27402234077453613
49,0.8812500238418579,8.000000889296643e-06,0.3181992471218109,0.8968609571456909,0.27275148034095764
50,0.8841345906257629,8.000000889296643e-06,0.31089723110198975,0.9002242088317871,0.269895076751709
51,0.8894230723381042,8.000000889296643e-06,0.30307483673095703,0.8968609571456909,0.2724505364894867
